Index, Number of estimations, Sample size, Estimated value
1, 100, 10000, 3.114680
2, 100, 20000, 3.120810
3, 100, 30000, 3.122134
4, 100, 40000, 3.118282
5, 100, 50000, 3.121817
6, 100, 60000, 3.120950
7, 100, 70000, 3.119839
8, 100, 80000, 3.121426
9, 100, 90000, 3.121923
10, 100, 100000, 3.121034
11, 100, 110000, 3.120512
12, 100, 120000, 3.122250
13, 100, 130000, 3.121542
14, 100, 140000, 3.120523
15, 100, 150000, 3.121773
16, 100, 160000, 3.121162
17, 100, 170000, 3.121762
18, 100, 180000, 3.122830
19, 100, 190000, 3.121378
20, 100, 200000, 3.121620
21, 100, 210000, 3.121782
22, 100, 220000, 3.120921
23, 100, 230000, 3.121730
24, 100, 240000, 3.120563
25, 100, 250000, 3.120245
26, 100, 260000, 3.121633
27, 100, 270000, 3.120968
28, 100, 280000, 3.121421
29, 100, 290000, 3.121062
30, 100, 300000, 3.121840
31, 100, 310000, 3.120677
32, 100, 320000, 3.120743
33, 100, 330000, 3.121219
34, 100, 340000, 3.121355
35, 100, 350000, 3.121545
36, 100, 360000, 3.122127
37, 100, 370000, 3.120867
38, 100, 380000, 3.121786
39, 100, 390000, 3.121670
40, 100, 400000, 3.121114
41, 100, 410000, 3.120822
42, 100, 420000, 3.120983
43, 100, 430000, 3.121179
44, 100, 440000, 3.121176
45, 100, 450000, 3.120946
46, 100, 460000, 3.120519
47, 100, 470000, 3.121113
48, 100, 480000, 3.121390
49, 100, 490000, 3.121165
50, 100, 500000, 3.122087
51, 100, 510000, 3.120962
52, 100, 520000, 3.121416
53, 100, 530000, 3.120999
54, 100, 540000, 3.121700
55, 100, 550000, 3.121197
56, 100, 560000, 3.120856
57, 100, 570000, 3.121438
58, 100, 580000, 3.121699
59, 100, 590000, 3.121559
60, 100, 600000, 3.121292
61, 100, 610000, 3.121114
62, 100, 620000, 3.120930
63, 100, 630000, 3.121358
64, 100, 640000, 3.121014
65, 100, 650000, 3.121158
66, 100, 660000, 3.120695
67, 100, 670000, 3.121350
68, 100, 680000, 3.121564
69, 100, 690000, 3.120892
70, 100, 700000, 3.120948
71, 100, 710000, 3.121178
72, 100, 720000, 3.121195
73, 100, 730000, 3.121351
74, 100, 740000, 3.121252
75, 100, 750000, 3.121675
76, 100, 760000, 3.121762
77, 100, 770000, 3.121114
78, 100, 780000, 3.121423
79, 100, 790000, 3.120936
80, 100, 800000, 3.121100
81, 100, 810000, 3.121079
82, 100, 820000, 3.120972
83, 100, 830000, 3.121341
84, 100, 840000, 3.120917
85, 100, 850000, 3.121229
86, 100, 860000, 3.121732
87, 100, 870000, 3.121365
88, 100, 880000, 3.121450
89, 100, 890000, 3.121472
90, 100, 900000, 3.121062
91, 100, 910000, 3.121245
92, 100, 920000, 3.121406
93, 100, 930000, 3.120998
94, 100, 940000, 3.120972
95, 100, 950000, 3.121204
96, 100, 960000, 3.120864
97, 100, 970000, 3.121503
98, 100, 980000, 3.121081
99, 100, 990000, 3.121259
100, 100, 1000000, 3.121033
